ufa9d5	99:0:0:25:25:175:175:u30aa
ufa9d6	99:0:0:25:25:175:175:u30ab
ufa9d7	99:0:0:25:25:175:175:u30ad
ufa9d8	99:0:0:25:25:175:175:u30af
ufa9d9	99:0:0:25:25:175:175:u30b1
ufa9da	99:0:0:25:25:175:175:u30b3
ufa9db	99:0:0:25:25:175:175:u30b5
ufa9dc	99:0:0:25:25:175:175:u30b7
ufa9dd	99:0:0:25:25:175:175:u30b9
ufa9de	99:0:0:25:25:175:175:u30bb
ufa9df	99:0:0:25:25:175:175:u30bd
ufa9e0	99:0:0:25:25:175:175:u30bf
ufa9e1	99:0:0:25:25:175:175:u30c1
ufa9e2	99:0:0:25:25:175:175:u30c4
ufa9e3	99:0:0:25:25:175:175:u30c6
ufa9e4	99:0:0:25:25:175:175:u30c8
ufa9e5	99:0:0:25:25:175:175:u30ca
ufa9e6	99:0:0:25:25:175:175:u30cb
ufa9e7	99:0:0:25:25:175:175:u30cc
ufa9e8	99:0:0:25:25:175:175:u30cd
ufa9e9	99:0:0:25:25:175:175:u30ce
ufa9ea	99:0:0:25:25:175:175:u30cf
ufa9eb	99:0:0:25:25:175:175:u30d2
ufa9ec	99:0:0:25:25:175:175:u30d5
ufa9ed	99:0:0:25:25:175:175:u30d8
ufa9ee	99:0:0:25:25:175:175:u30db
ufa9ef	99:0:0:25:25:175:175:u30de
ufa9f0	99:0:0:25:25:175:175:u30df
ufa9f1	99:0:0:25:25:175:175:u30e0
ufa9f2	99:0:0:25:25:175:175:u30e1
ufa9f3	99:0:0:25:25:175:175:u30e2
ufa9f4	99:0:0:25:25:175:175:u30e4
ufa9f5	99:0:0:25:25:175:175:u30e6
ufa9f6	99:0:0:25:25:175:175:u30e8
ufa9f7	99:0:0:25:25:175:175:u30e9
ufa9f8	99:0:0:25:25:175:175:u30ea
ufa9f9	99:0:0:25:25:175:175:u30eb
ufa9fa	99:0:0:25:25:175:175:u30ec
ufa9fb	99:0:0:25:25:175:175:u30ed
ufa9fc	99:0:0:25:25:175:175:u30ef
ufa9fd	99:0:0:25:25:175:175:u30f0
ufa9fe	99:0:0:25:25:175:175:u30f1
ufa9ff	99:0:0:25:25:175:175:u30f2
ufaa00	99:0:0:25:25:175:175:u30f3
ufaa01	99:0:0:25:25:175:175:u65e5
ufaa02	99:0:0:25:25:175:175:u6708
ufaa03	99:0:0:25:25:175:175:u706b
ufaa04	99:0:0:25:25:175:175:u6c34
ufaa05	99:0:0:25:25:175:175:u6728
ufaa06	99:0:0:25:25:175:175:u91d1
ufaa07	99:0:0:25:25:175:175:u571f
ufaa08	99:0:0:25:25:175:175:u554f
ufaa09	99:0:0:25:25:175:175:u7b54
ufaa0a	99:0:0:25:25:175:175:u4f8b
ufaaaf	99:0:0:25:25:175:175:u3042
ufaab0	99:0:0:25:25:175:175:u3044
ufaab1	99:0:0:25:25:175:175:u3046
ufaab2	99:0:0:25:25:175:175:u3048
ufaab3	99:0:0:25:25:175:175:u304a
ufaab4	99:0:0:25:25:175:175:u304b
ufaab5	99:0:0:25:25:175:175:u304d
ufaab6	99:0:0:25:25:175:175:u304f
ufaab7	99:0:0:25:25:175:175:u3051
ufaab8	99:0:0:25:25:175:175:u3053
ufaab9	99:0:0:25:25:175:175:u3055
ufaaba	99:0:0:25:25:175:175:u3057
ufaabb	99:0:0:25:25:175:175:u3059
ufaabc	99:0:0:25:25:175:175:u305b
ufaabd	99:0:0:25:25:175:175:u305d
ufaabe	99:0:0:25:25:175:175:u305f
ufaabf	99:0:0:25:25:175:175:u3061
ufaac0	99:0:0:25:25:175:175:u3064
ufaac1	99:0:0:25:25:175:175:u3066
ufaac2	99:0:0:25:25:175:175:u3068
ufaac3	99:0:0:25:25:175:175:u306a
ufaac4	99:0:0:25:25:175:175:u306b
ufaac5	99:0:0:25:25:175:175:u306c
ufaac6	99:0:0:25:25:175:175:u306d
ufaac7	99:0:0:25:25:175:175:u306e
ufaac8	99:0:0:25:25:175:175:u306f
ufaac9	99:0:0:25:25:175:175:u3072
ufaaca	99:0:0:25:25:175:175:u3075
ufaacb	99:0:0:25:25:175:175:u3078
ufaacc	99:0:0:25:25:175:175:u307b
ufaacd	99:0:0:25:25:175:175:u307e
ufaace	99:0:0:25:25:175:175:u307f
ufaacf	99:0:0:25:25:175:175:u3080
ufaad0	99:0:0:25:25:175:175:u3081
ufaad1	99:0:0:25:25:175:175:u3082
ufaad2	99:0:0:25:25:175:175:u3084
ufaad3	99:0:0:25:25:175:175:u3086
ufaad4	99:0:0:25:25:175:175:u3088
ufaad5	99:0:0:25:25:175:175:u3089
ufaad6	99:0:0:25:25:175:175:u308a
ufaad7	99:0:0:25:25:175:175:u308b
ufaad8	99:0:0:25:25:175:175:u308c
ufaad9	99:0:0:25:25:175:175:u308d
ufaada	99:0:0:25:25:175:175:u308f
ufaadb	99:0:0:25:25:175:175:u3090
ufaadc	99:0:0:25:25:175:175:u3091
ufaadd	99:0:0:25:25:175:175:u3092
ufaade	99:0:0:25:25:175:175:u3093
ufaadf	99:0:0:25:25:175:175:u30a2
ufaae0	99:0:0:25:25:175:175:u30a4
ufaae1	99:0:0:25:25:175:175:u30a6
ufaae2	99:0:0:25:25:175:175:u30a8
ufaae3	99:0:0:25:25:175:175:u30aa
ufaae4	99:0:0:25:25:175:175:u30ab
ufaae5	99:0:0:25:25:175:175:u30ad
ufaae6	99:0:0:25:25:175:175:u30af
ufaae7	99:0:0:25:25:175:175:u30b1
ufaae8	99:0:0:25:25:175:175:u30b3
ufaae9	99:0:0:25:25:175:175:u30b5
ufaaea	99:0:0:25:25:175:175:u30b7
ufaaeb	99:0:0:25:25:175:175:u30b9
ufaaec	99:0:0:25:25:175:175:u30bb
ufaaed	99:0:0:25:25:175:175:u30bd
ufaaee	99:0:0:25:25:175:175:u30bf
ufaaef	99:0:0:25:25:175:175:u30c1
ufaaf0	99:0:0:25:25:175:175:u30c4
ufaaf1	99:0:0:25:25:175:175:u30c6
ufaaf2	99:0:0:25:25:175:175:u30c8
